,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
157,Chris Boucher,TOR,"$10,810,000 ",,,,,,"$10,810,000 ",bouchch01
158,Jarred Vanderbilt,LAL,"$10,714,286 ","$11,571,429 ","$12,428,571 ","$13,285,714 ",,,"$34,714,286 ",vandeja01
159,Aaron Wiggins,OKC,"$10,514,017 ","$9,672,897 ","$8,831,776 ","$7,990,655 ","$7,990,655 ",,"$45,000,000 ",wiggiaa01
160,Chris Paul,SAS,"$10,460,000 ",,,,,,"$10,460,000 ",paulch01
161,Scoot Henderson,POR,"$10,259,160 ","$10,748,040 ","$13,585,523 ",,,,"$21,007,200 ",hendesc01
162,Isaac Okoro,CLE,"$10,185,186 ","$11,000,000 ","$11,814,814 ",,,,"$33,000,000 ",okorois01
163,Scottie Barnes,TOR,"$10,130,980 ","$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ","$234,369,130 ",barnesc01
164,Reed Sheppard,HOU,"$10,098,960 ","$10,603,560 ","$11,108,880 ","$14,041,625 ",,,"$20,702,520 ",sheppre01
165,Mike Conley,MIN,"$9,975,962 ","$10,774,038 ",,,,,"$20,750,000 ",conlemi01
166,Jonas Valančiūnas,SAC,"$9,900,000 ","$10,395,000 ","$10,000,000 ",,,,"$20,295,000 ",valanjo01
167,Alex Caruso,OKC,"$9,890,000 ","$18,102,000 ","$19,550,160 ","$20,998,320 ","$22,446,480 ",,"$90,986,960 ",carusal01
168,Jabari Smith Jr.,HOU,"$9,770,880 ","$12,350,392 ",,,,,"$22,121,272 ",smithja05
169,Derrick Jones Jr.,LAC,"$9,523,810 ","$10,000,000 ","$10,476,190 ",,,,"$30,000,000 ",jonesde02
170,Al Horford,BOS,"$9,500,000 ",,,,,,"$9,500,000 ",horfoal01
171,Pat Connaughton,MIL,"$9,423,869 ","$9,423,869 ",,,,,"$9,423,869 ",connapa01
172,Royce O'Neale,PHO,"$9,375,000 ","$10,125,000 ","$10,875,000 ","$11,625,000 ",,,"$42,000,000 ",onealro01
173,T.J. McConnell,IND,"$9,300,000 ","$10,200,000 ","$11,000,000 ","$11,800,000 ","$11,800,000 ",,"$42,300,000 ",mccontj01
174,Luke Kennard,MEM,"$9,250,000 ",,,,,,"$9,250,000 ",kennalu01
175,Amen Thompson,HOU,"$9,249,960 ","$9,690,600 ","$12,258,609 ",,,,"$18,940,560 ",thompam01
176,Jalen Suggs,ORL,"$9,188,385 ","$35,000,000 ","$32,400,000 ","$29,600,000 ","$26,800,000 ","$26,700,000 ","$132,988,385 ",suggsja01
177,Caleb Martin,DAL,"$9,186,594 ","$9,594,044 ","$10,001,493 ","$9,371,351 ",,,"$28,782,131 ",martica02
178,Gary Payton II,GSW,"$9,130,000 ",,,,,,"$9,130,000 ",paytoga02
179,Stephon Castle,SAS,"$9,105,120 ","$9,560,520 ","$10,015,920 ","$12,670,139 ",,,"$18,665,640 ",castlst01
180,Tre Jones,CHI,"$9,104,167 ",,,,,,"$9,104,167 ",jonestr01
181,Goga Bitadze,ORL,"$9,057,971 ","$8,333,333 ","$7,608,696 ",,,,"$25,000,000 ",bitadgo01
182,Zeke Nnaji,DEN,"$8,888,889 ","$8,177,778 ","$7,466,667 ","$7,466,667 ",,,"$24,533,334 ",nnajize01
183,Keegan Murray,SAC,"$8,809,560 ","$11,144,093 ",,,,,"$19,953,653 ",murrake02
184,Buddy Hield,GSW,"$8,780,488 ","$9,219,512 ","$9,658,536 ","$10,097,560 ",,,"$27,658,536 ",hieldbu01
185,Kyle Anderson,MIA,"$8,780,488 ","$9,219,512 ","$9,658,536 ",,,,"$18,000,000 ",anderky01
186,Naji Marshall,DAL,"$8,571,429 ","$9,000,000 ","$9,428,571 ",,,,"$27,000,000 ",marshna01
187,Jalen Smith,CHI,"$8,571,429 ","$9,000,000 ","$9,428,571 ",,,,"$27,000,000 ",smithja04
188,Georges Niang,ATL,"$8,500,000 ","$8,200,000 ",,,,,"$16,700,000 ",niangge01
189,Ausar Thompson,DET,"$8,376,000 ","$8,775,000 ","$11,117,925 ",,,,"$17,151,000 ",thompau01
190,Josh Giddey,CHI,"$8,352,367 ",,,,,,"$8,352,367 ",giddejo01
191,Josh Okogie,CHO,"$8,250,000 ","$7,750,000 ",,,,,"$8,250,000 ",okogijo01
192,Ron Holland,DET,"$8,245,320 ","$8,657,280 ","$9,069,600 ","$11,491,183 ",,,"$16,902,600 ",hollaro01
193,Cody Martin,PHO,"$8,120,000 ","$8,680,000 ",,,,,"$8,120,000 ",martico01
194,Jock Landale,HOU,"$8,000,000 ","$8,000,000 ","$8,000,000 ",,,,"$16,000,000 ",landajo01
195,Trey Lyles,SAC,"$8,000,000 ",,,,,,"$8,000,000 ",lylestr01
196,Jeff Green,HOU,"$8,000,000 ",,,,,,"$8,000,000 ",greenje02
197,Kevon Looney,GSW,"$8,000,000 ",,,,,,"$8,000,000 ",looneke01
198,Kelly Oubre Jr.,PHI,"$7,983,000 ","$8,382,150 ",,,,,"$7,983,000 ",oubreke01
199,Jaden Ivey,DET,"$7,977,240 ","$10,107,163 ",,,,,"$18,084,403 ",iveyja01
200,KJ Martin,UTA,"$7,975,000 ","$8,025,000 ",,,,,"$7,975,000 ",martike04
201,Vasilije Micić,PHO,"$7,723,000 ","$8,109,150 ",,,,,"$7,723,000 ",micicva01
202,Simone Fontecchio,DET,"$7,692,308 ","$8,307,692 ",,,,,"$16,000,000 ",fontesi01
203,Jonathan Kuminga,GSW,"$7,636,307 ",,,,,,"$7,636,307 ",kuminjo01
204,Anthony Black,ORL,"$7,607,760 ","$7,970,280 ","$10,106,316 ",,,,"$15,578,040 ",blackan01
205,Jae'Sean Tate,HOU,"$7,565,217 ",,,,,,"$7,565,217 ",tateja01
206,Gary Harris,ORL,"$7,500,000 ","$7,500,000 ",,,,,"$7,500,000 ",harriga01
207,Tidjane Salaün,CHO,"$7,488,720 ","$7,863,240 ","$8,237,880 ","$10,445,633 ",,,"$15,351,960 ",salauti01
208,Bennedict Mathurin,IND,"$7,245,720 ","$9,187,573 ",,,,,"$16,433,293 ",mathube01
209,Max Christie,DAL,"$7,142,857 ","$7,714,286 ","$8,285,714 ","$8,857,143 ",,,"$23,142,857 ",chrisma02
210,Franz Wagner,ORL,"$7,007,092 ","$38,661,750 ","$41,754,690 ","$44,847,630 ","$47,940,570 ","$51,033,510 ","$231,245,242 ",wagnefr01
211,Ayo Dosunmu,CHI,"$7,000,000 ","$7,518,518 ",,,,,"$14,518,518 ",dosunay01
212,Bilal Coulibaly,WAS,"$6,945,240 ","$7,275,600 ","$9,240,012 ",,,,"$14,220,840 ",coulibi01
213,Donovan Clingan,POR,"$6,836,400 ","$7,178,400 ","$7,519,920 ","$9,550,298 ",,,"$14,014,800 ",clingdo01
214,Payton Pritchard,BOS,"$6,696,429 ","$7,232,143 ","$7,767,857 ","$8,303,571 ",,,"$30,000,000 ",pritcpa01
215,Kenrich Williams,OKC,"$6,669,000 ","$7,163,000 ","$7,163,000 ",,,,"$13,832,000 ",willike04
216,Shaedon Sharpe,POR,"$6,614,160 ","$8,399,983 ",,,,,"$15,014,143 ",sharpsh01
217,Jevon Carter,CHI,"$6,500,000 ","$6,809,524 ",,,,,"$6,500,000 ",carteje01
218,Davion Mitchell,MIA,"$6,451,077 ",,,,,,"$6,451,077 ",mitchda01
219,Saddiq Bey,WAS,"$6,440,678 ","$6,118,644 ","$6,440,678 ",,,,"$19,000,000 ",beysa01
220,Jarace Walker,IND,"$6,362,520 ","$6,665,520 ","$8,478,542 ",,,,"$13,028,040 ",walkeja02
221,Rob Dillingham,MIN,"$6,262,920 ","$6,576,120 ","$6,889,320 ","$8,763,216 ",,,"$12,839,040 ",dilliro01
222,Dean Wade,CLE,"$6,166,667 ","$6,623,456 ",,,,,"$6,166,667 ",wadede01
223,John Konchar,MEM,"$6,165,000 ","$6,165,000 ","$6,165,000 ",,,,"$18,495,000 ",konchjo01
224,Ziaire Williams,BRK,"$6,133,005 ",,,,,,"$6,133,005 ",willizi02
225,Dyson Daniels,ATL,"$6,059,520 ","$7,707,709 ",,,,,"$13,767,229 ",daniedy01
226,Precious Achiuwa,NYK,"$6,000,000 ",,,,,,"$6,000,000 ",achiupr01
